iter	Passed	Remaining
0	5	5222
1	14	7095
2	28	9377
3	36	9001
4	42	8394
5	50	8291
6	58	8239
7	64	7996
8	70	7729
9	78	7814
10	91	8226
11	99	8162
12	105	8023
13	114	8052
14	118	7803
15	125	7717
16	130	7552
17	136	7420
18	144	7447
19	150	7362
20	155	7268
21	162	7226
22	167	7133
23	174	7091
24	179	6984
25	182	6828
26	186	6735
27	193	6700
28	197	6625
29	202	6554
30	208	6510
31	212	6440
32	217	6372
33	224	6369
34	229	6317
35	235	6310
36	256	6667
37	262	6643
38	273	6731
39	278	6680
40	283	6635
41	291	6657
42	296	6609
43	304	6606
44	309	6562
45	314	6517
46	321	6511
47	326	6473
48	331	6434
49	339	6456
50	345	6431
51	353	6453
52	359	6415
53	363	6375
54	370	6364
55	375	6330
56	380	6301
57	387	6291
58	392	6259
59	399	6252
60	404	6226
61	409	6198
62	415	6186
63	421	6162
64	426	6131
65	432	6121
66	437	6094
67	442	6067
68	449	6067
69	453	6029
70	458	6005
71	466	6008
72	472	5995
73	477	5974
74	484	5975
75	490	5959
76	497	5962
77	502	5942
78	507	5921
79	514	5921
80	520	5902
81	526	5895
82	533	5898
83	539	5883
84	547	5892
85	552	5872
86	557	5852
87	564	5848
88	569	5829
89	576	5824
90	581	5808
91	586	5789
92	592	5781
93	598	5764
94	603	5747
95	610	5749
96	615	5730
97	620	5714
98	627	5708
99	632	5691
100	637	5671
101	643	5667
102	648	5649
103	654	5634
104	660	5626
105	665	5609
106	670	5596
107	676	5588
108	681	5572
109	686	5557
110	692	5548
111	698	5534
112	703	5518
113	709	5510
114	714	5497
115	719	5484
116	730	5512
117	735	5496
118	741	5493
119	746	5477
120	751	5459
121	757	5452
122	762	5437
123	768	5425
124	773	5417
125	778	5401
126	783	5383
127	789	5377
128	794	5363
129	799	5350
130	805	5343
131	810	5329
132	815	5316
133	821	5310
134	826	5296
135	831	5283
136	838	5279
137	843	5266
138	848	5253
139	854	5249
140	859	5237
141	865	5229
142	871	5222
143	877	5213
144	883	5209
145	888	5197
146	893	5185
147	899	5180
148	904	5166
149	909	5155
150	916	5152
151	921	5140
152	926	5129
153	933	5127
154	938	5116
155	943	5107
156	948	5092
157	953	5080
158	958	5068
159	964	5064
160	969	5052
161	975	5048
162	983	5047
163	988	5040
164	997	5047
165	1002	5035
166	1007	5023
167	1014	5022
168	1019	5010
169	1023	4998
170	1030	4997
171	1035	4984
172	1040	4974
173	1047	4974
174	1053	4964
175	1060	4963
176	1065	4954
177	1070	4943
178	1077	4942
179	1083	4934
180	1088	4924
181	1094	4920
182	1099	4909
183	1104	4898
184	1111	4895
185	1116	4885
186	1121	4873
187	1127	4869
188	1132	4860
189	1137	4849
190	1144	4845
191	1148	4833
192	1153	4822
193	1159	4817
194	1164	4806
195	1169	4796
196	1175	4791
197	1180	4782
198	1185	4772
199	1191	4767
200	1197	4758
201	1201	4748
202	1207	4742
203	1212	4732
204	1217	4721
205	1223	4717
206	1229	4708
207	1236	4709
208	1245	4712
209	1250	4705
210	1259	4710
211	1265	4705
212	1273	4706
213	1278	4697
214	1283	4687
215	1300	4721
216	1308	4723
217	1315	4718
218	1321	4714
219	1327	4705
220	1332	4696
221	1356	4754
222	1364	4754
223	1371	4750
224	1376	4741
225	1381	4732
226	1387	4725
227	1392	4715
228	1397	4705
229	1403	4697
230	1407	4685
231	1412	4675
232	1418	4669
233	1423	4659
234	1428	4649
235	1432	4636
236	1437	4626
237	1442	4617
238	1449	4614
239	1454	4604
240	1459	4595
241	1466	4592
242	1471	4584
243	1476	4574
244	1482	4569
245	1487	4560
246	1492	4551
247	1499	4546
248	1504	4537
249	1509	4528
250	1531	4569
251	1537	4565
252	1544	4561
253	1550	4552
254	1555	4544
255	1563	4542
256	1568	4534
257	1573	4525
258	1580	4520
259	1585	4511
260	1590	4502
261	1595	4492
262	1599	4483
263	1603	4469
264	1609	4464
265	1614	4455
266	1619	4446
267	1626	4443
268	1631	4434
269	1637	4425
270	1644	4423
271	1649	4415
272	1656	4411
273	1664	4410
274	1669	4402
275	1676	4397
276	1681	4388
277	1686	4379
278	1692	4374
279	1698	4366
280	1703	4358
281	1709	4353
282	1714	4344
283	1720	4337
284	1726	4331
285	1731	4322
286	1738	4318
287	1743	4310
288	1748	4301
289	1754	4296
290	1759	4287
291	1764	4279
292	1771	4275
293	1776	4266
294	1782	4260
295	1788	4254
296	1793	4245
297	1798	4236
298	1805	4231
299	1809	4222
300	1814	4214
301	1821	4209
302	1826	4201
303	1831	4193
304	1838	4188
305	1841	4177
306	1846	4168
307	1855	4168
308	1863	4166
309	1874	4171
310	1881	4168
311	1890	4168
312	1903	4177
313	1911	4175
314	1922	4179
315	1928	4174
316	1937	4175
317	1944	4171
318	1954	4173
319	1961	4168
320	1970	4168
321	1974	4158
322	1984	4159
323	1991	4155
324	2100	4362
325	2150	4445
326	2158	4441
327	2165	4437
328	2170	4427
329	2190	4446
330	2200	4447
331	2206	4440
332	2215	4438
333	2221	4430
334	2229	4424
335	2234	4416
336	2241	4410
337	2248	4402
338	2253	4393
339	2261	4389
340	2266	4379
341	2271	4370
342	2277	4362
343	2283	4353
344	2287	4343
345	2294	4336
346	2299	4327
347	2304	4317
348	2347	4379
349	2359	4382
350	2369	4381
351	2376	4375
352	2382	4366
353	2388	4359
354	2394	4350
355	2399	4340
356	2406	4334
357	2411	4324
358	2416	4315
359	2423	4308
360	2428	4299
361	2434	4289
362	2440	4282
363	2445	4273
364	2450	4263
365	2457	4256
366	2462	4247
367	2467	4237
368	2473	4229
369	2479	4221
370	2486	4216
371	2492	4207
372	2497	4198
373	2506	4194
374	2511	4185
375	2516	4176
376	2522	4168
377	2527	4159
378	2535	4153
379	2540	4144
380	2545	4135
381	2553	4130
382	2558	4121
383	2563	4112
384	2570	4105
385	2575	4096
386	2581	4089
387	2587	4081
388	2593	4072
389	2599	4065
390	2604	4057
391	2609	4047
392	2616	4041
393	2622	4032
394	2627	4024
395	2633	4017
396	2638	4008
397	2644	3999
398	2650	3991
399	2655	3983
400	2660	3973
401	2666	3966
402	2671	3957
403	2676	3947
404	2682	3940
405	2687	3931
406	2692	3922
407	2698	3914
408	2703	3906
409	2708	3897
410	2733	3917
411	2740	3911
412	2748	3905
413	2753	3897
414	2758	3888
415	2764	3880
416	2769	3871
417	2774	3863
418	2780	3855
419	2785	3846
420	2790	3838
421	2796	3830
422	2801	3821
423	2808	3815
424	2813	3806
425	2818	3797
426	2825	3791
427	2830	3783
428	2838	3777
429	2848	3775
430	2857	3773
431	2865	3767
432	2878	3768
433	2886	3763
434	2898	3765
435	2909	3763
436	2920	3762
437	2929	3759
438	2944	3762
439	2951	3755
440	2960	3752
441	2969	3748
442	2975	3741
443	2989	3743
444	2998	3739
445	3007	3735
446	3016	3731
447	3025	3727
448	3031	3720
449	3040	3715
